age,age_cats,married,gender,race,educ,par1_educ,par2_educ,partisan_7pt,curr_county,curr_dem_margin,curr_phi_80_96,curr_phi_00_16,curr_pop,curr_white_alone,curr_workers_outside_home,curr_bach_degree_higher,curr_median_income,curr_gini,curr_avg_commute,curr_city,hs_county,hs_dem_margin,hs_phi_80_96,hs_phi_00_16,hs_pop,hs_white_alone,hs_workers_outside_home,hs_bach_degree_higher,hs_median_income,hs_gini,hs_avg_commute,hs_city,tenure,county_7pt,city_7pt,city_income,vote_primary,vote_pres,vote_local,why_vote,vote_duty,vote_choice,protest,petition,campaign,money_pol,money_soc,contact_congress,contact_local,volunteer_org,volunteer_solo,volunteer_hrs,par_volunteer,par_pol,par_events,citizen_voting,citizen_volunteer,citizen_protest,fam_size,fam_partisan,fam_convo,school,school_sports,school_volunteer,school_political,club_volunteer,club_political,hs_voice,employ,work_hrs,work_convos,work_political,school_hrs,religion,social_trust,neighbor,interest,f2f_comfort,f2f_different,end_friend,best_interest,hate_speech,disruption,govt_trust,efficacy,govt_services,num_contacts,talk_pol,talk_pol_sim,pol_discuss,soc_media,sm_hrs,web_hrs,tv_hrs,sm_comfort,sm_different,post_similar,post_different,add_political,partisan_3pt
18,18-29,Single,Female,White,Some college,4-year,Some college,Extremely Liberal,"orange, nc",50.3,23.56,39.6,138644,103958,63362,47769,59290,0.5254,22.26799975,Chapel Hill,"new hanover, nc",-3.9,16.04,6.52,213091,172714,95230,53029,50088,0.4835,20.37955476,Wilmington,9,Slightly Conservative,Conservative,Affluent,Yes,Yes,Not old enough,Mainly a duty,Moderately strongly,A little strongly,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Five to ten,A few times a year,Not at all,Rarely,A moderate amount,A moderate amount,A moderate amount,3,3,Often,Public school,Somewhat important,Not too important,Not at all important,Often,Rarely,Often,Student,12,3,1,8,Never,Most of the time,Somewhat comfortable,Always,Very comfortable,Somewhat comfortable,No,A moderate amount,Yes,Agree,About half the time,Disagree,Govt should provide more services,4,4,4,Occasionally,Yes,Two to four,Zero to two,Less than 1 hour,Very comfortable,Somewhat comfortable,Often,Rarely,Not very often,Liberal
39,30-44,Married,Male,Hispanic,2-year,High school graduate,Some college,Moderate,"hillsborough, fl",6.8,13.2,6.12,1302884,926752,571532,266437,50579,0.4792,26.4036047,"Brandon, FL",,,,,,,,,,,,"Hampton, VA",11,Slightly Liberal,Slightly Liberal,Middle class,Yes,Yes,Yes,Mainly a choice,Not at all,Moderately strongly,No,Yes,No,No,No,No,No,Yes,No,Zero,A few times a year,Not at all,Not very often,A moderate amount,A moderate amount,A little,2,3,Often,Public school,Not too important,Somewhat important,Not too important,Not very often,Not very often,Not very often,Full-time,60,2,1,,Never,Some of the time,Not too comfortable,Always,Very comfortable,Very comfortable,No,A little,Yes,Agree,Never,Strongly disagree,Govt provides the right amount of services,3,2,2,Most of the time,Yes,Two to four,Four to six,More than three hours,Somewhat comfortable,Somewhat comfortable,Rarely,Rarely,Rarely,Moderate
58,45-59,Married,Male,Hispanic,Some college,High school graduate,High school graduate,Slightly Conservative,"rowan, nc",-36.4,26.8,30.38,138361,108084,53513,16533,43069,0.4403,23.92231794,"Salisbury, NC","st. croix, usvi",,,,,,,,,,,Christiansted,4,Conservative,Conservative,Middle class,Yes,Yes,No,Mainly a choice,Not at all,Very strongly,No,No,No,No,,,No,No,No,Zero,A few times a year,Not at all,Not very often,A great deal,None at all,None at all,0,3,Often,Private religious school,Somewhat important,Very important,Somewhat important,Not very often,Not very often,Often,Full-time,50,3,1,,A few times a year,About half the time,Somewhat comfortable,Always,Very comfortable,Very comfortable,No,None at all,Yes,Disagree,Never,Strongly disagree,Govt provides the right amount of services,4,4,,Most of the time,Yes,Zero to two,Zero to two,One to three,Very comfortable,Very comfortable,Rarely,Rarely,,Conservative
20,18-29,Single,Female,White,Some college,2-year,Some college,Liberal,"orange, nc",50.3,23.56,39.6,138644,103958,63362,47769,59290,0.5254,22.26799975,"Carrboro, NC","union, nc",-30.6,23.6,32.84,213422,172966,91583,44628,65903,0.4468,29.5669502,"Matthews, NC",2,Extremely Liberal,Extremely Liberal,Middle class,Yes,Yes,No,Mainly a duty,Moderately strongly,Very strongly,No,Yes,No,No,No,No,No,No,No,Zero,Once or twice a month,Moderately involved,Not very often,A moderate amount,A moderate amount,A moderate amount,1,1,Very often,Public school,Very important,Very important,Somewhat important,Very often,Not very often,Not very often,Part-time,6,3,1,11,Never,Some of the time,Not comfortable at all,Some of the time,Very comfortable,Very comfortable,No,A great deal,No,Disagree,Most of the time,Disagree,Govt provides the right amount of services,5,5,5,Occasionally,Yes,Zero to two,Four to six,Less than 1 hour,Not too comfortable,Not too comfortable,Rarely,Rarely,Not very often,Liberal
20,18-29,Single,Male,Black,Some college,4-year,4-year,Liberal,"orange, nc",50.3,23.56,39.6,138644,103958,63362,47769,59290,0.5254,22.26799975,Chapel Hill,"forsyth, nc",10.4,12.08,9.86,361684,242474,152608,78674,45471,0.4872,21.0878853,Winstin Salem,20,Moderate,Moderate,Middle class,Yes,Yes,No,Mainly a choice,A little strongly,Very strongly,Yes,Yes,No,No,No,No,Yes,No,Yes,One to Four,Once or twice a month,Not at all,Rarely,A little,A great deal,A great deal,2,2,Not very often,Public school,Very important,Somewhat important,Not too important,Often,Rarely,Not very often,Student,,,,40,A few times a year,Some of the time,Somewhat comfortable,Some of the time,Somewhat comfortable,Very comfortable,No,A moderate amount,No,Agree,Never,Strongly disagree,Govt should provide many more services,5,2,2,Occasionally,No,Zero to two,Two to four,One to three,Somewhat comfortable,Somewhat comfortable,Not very often,Rarely,Not very often,Liberal
19,18-29,Single,Female,White,Some college,Post-grad,Post-grad,Liberal,"wake, nc",20.2,8.32,11.04,976019,660230,455690,312039,67309,0.4444,24.10351335,Raleigh,"wake, nc",20.2,8.32,11.04,976019,660230,455690,312039,67309,0.4444,24.10351335,Raleigh,19,Slightly Liberal,Liberal,Middle class,Yes,Yes,Not old enough,Mainly a choice,Moderately strongly,Moderately strongly,No,Yes,No,No,Yes,Yes,No,Yes,No,Five to ten,Never,Not at all,Rarely,A great deal,A moderate amount,A moderate amount,3,2,Very often,Public school,Not at all important,Somewhat important,Not at all important,Not very often,Rarely,Rarely,Student,,,,70,Never,Most of the time,Not too comfortable,Most of the time,Somewhat comfortable,Somewhat comfortable,No,A little,No,Agree,Some of the time,Disagree,Govt should provide more services,2,1,1,Occasionally,Yes,Zero to two,Zero to two,One to three,Somewhat comfortable,Not comfortable at all,Rarely,Rarely,Not very often,Liberal
72,60 and above,Single,Female,White,Post-grad,No HS,No HS,Liberal,"orange, nc",50.3,23.56,39.6,138644,103958,63362,47769,59290,0.5254,22.26799975,Chapel Hill,"cedar, ne",-67.9,29.66,51.72,8675,8560,3990,1044,52250,0.4382,17.39724311,Hartington,2,Slightly Liberal,Slightly Liberal,Affluent,Yes,Yes,No,Mainly a duty,Very strongly,Not at all,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Zero,Every week,Moderately involved,Not very often,A great deal,A great deal,A great deal,8,4,Rarely,Private religious school,Very important,Not at all important,Not at all important,Rarely,Rarely,Often,Part-time,30,,,,Once or twice a month,Most of the time,Very comfortable,Most of the time,Very comfortable,Very comfortable,No,None at all,Yes,Agree,Some of the time,Disagree,Govt should provide many more services,5,5,5,Occasionally,Yes,Zero to two,Zero to two,Less than 1 hour,Somewhat comfortable,Not too comfortable,Often,Rarely,Rarely,Liberal
60,60 and above,Married,Female,White,Post-grad,4-year,4-year,Slightly Liberal,"new york, ny",76.5,52.52,69.62,1629507,919474,808552,736558,72871,0.5988,31.05467552,New York,"pickens, sc",-52.8,34.56,48.34,120124,106510,48596,16634,41459,0.4537,23.88992921,Central South Carolina,37,Extremely Liberal,Extremely Liberal,Affluent,Yes,Yes,Yes,Mainly a duty,Moderately strongly,Very strongly,Yes,Yes,No,No,Yes,Yes,No,No,No,Zero,Almost every week,A little involved,Rarely,A great deal,A moderate amount,A moderate amount,8,2,Not very often,Public school,Very important,Not too important,Not too important,Often,Rarely,Very often,Full-time,60,4,3,,A few times a year,Most of the time,Very comfortable,Most of the time,Somewhat comfortable,Not too comfortable,Yes,A moderate amount,No,Disagree,Some of the time,Disagree,Govt should provide more services,5,4,4,Occasionally,Yes,Zero to two,Two to four,Less than 1 hour,Somewhat comfortable,Somewhat comfortable,Often,Rarely,Rarely,Liberal
20,18-29,Single,Female,White,Some college,High school graduate,High school graduate,Liberal,"wake, nc",20.2,8.32,11.04,976019,660230,455690,312039,67309,0.4444,24.10351335,Raleigh,"harnett, nc",-23.6,13.04,22.24,124320,84461,48383,15279,46353,0.4269,28.71876486,Angier,18,Conservative,Extremely Conservative,Poor,No,Yes,No,Mainly a choice,Moderately strongly,Moderately strongly,No,No,No,No,No,No,No,Yes,Yes,Five to ten,Never,Not at all,Rarely,A moderate amount,A moderate amount,A little,2,1,Very often,Public school,Not too important,Not too important,Somewhat important,Not very often,Not very often,Not very often,Student,24,1,0,8,Never,Most of the time,Not too comfortable,Most of the time,Very comfortable,Very comfortable,Yes,A little,No,Agree,Some of the time,Strongly disagree,Govt should provide many more services,5,2,1,Occasionally,Yes,Zero to two,Two to four,One to three,Not too comfortable,Not comfortable at all,Often,Rarely,Often,Liberal
53,45-59,Married,Female,White,Post-grad,Post-grad,High school graduate,Liberal,"harnett, nc",-23.6,13.04,22.24,124320,84461,48383,15279,46353,0.4269,28.71876486,Fuquay Varina,"middlesex, ma",38.15220692,14.4,31.1744487,1556116,1230158,774644,563223,85118,0.4734,29.3315381,Stoneham,11,Conservative,Conservative,Middle class,Yes,Yes,No,Mainly a duty,Very strongly,Not at all,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Five to ten,Never,Not at all,Rarely,A great deal,A great deal,A great deal,3,3,Very often,Public school,Very important,Somewhat important,Not too important,Often,Rarely,Very often,Full-time,60,2,0,,A few times a year,Some of the time,Somewhat comfortable,Always,Very comfortable,Very comfortable,No,A little,Yes,Disagree,Some of the time,Strongly disagree,Govt should provide many more services,5,5,5,Almost all the time,Yes,Zero to two,Zero to two,One to three,Not too comfortable,Not too comfortable,Often,Rarely,Rarely,Liberal
